,Team_1,Team_1_Score,Team_1_Zip,Team_2_Team,Team_2_Score,Sport,Gender,Year,Level,City,State,Result,District_Non_District,Away/Home_For_Team_1,Date_Of_Contest,Time
0,Allen,23,75002-2100,Cedar Hill,8,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, Non-District,Home ,"Fri, 9/1",7:30pm
1,Allen,28,75002-2100,"Evangel Christian AcademyShreveport, LA",7,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, Non-District,Home ,"Fri, 9/8",7:00pm
2,Allen,35,75002-2100,Coppell,23,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, Non-District,Home ,"Fri, 9/15",7:30pm
3,Allen,61,75002-2100,BoydMcKinney,10,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, District,Home ,"Fri, 9/29",7:30pm
4,Allen,38,75002-2100,Plano,10,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, District,Home ,"Fri, 10/13",7:30pm
5,Allen,45,75002-2100,GuyerDenton,7,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, District,Away ,"Fri, 10/20",7:30pm
6,Allen,49,75002-2100,McKinney,14,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, District,Home ,"Fri, 10/27",7:30pm
7,Allen,56,75002-2100,Plano EastPlano,30,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, District,Home ,"Fri, 11/3",7:30pm
8,Allen,44,75002-2100,Wylie,28,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, District,Away ,"Fri, 11/10",7:30pm
9,Allen,48,75002-2100,HebronCarrollton,17,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, Playoff,Home ,"Fri, 11/17",7:30pm
10,Allen,28,75002-2100,South Grand PrairieGrand Prairie,14,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, Playoff,TBA ,"Fri, 11/24",4:00pm
11,Allen,48,75002-2100,MartinArlington,25,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, Playoff,TBA ,"Fri, 12/1",7:30pm
12,Allen,41,75002-2100,TrinityEuless,20,football,boys,17-18,Varsity,Allen,TX,Team_1_Win, Playoff,TBA ,"Sat, 12/9",1:00pm
